Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Economic Growth (from prior year),Population,% <$1.90 a day,% of Famine,Maternal Mortality (Deaths),Maternal Mortality per 100k,Suicide Mortality per 100k,Life Expectancy (Year),% Male (Pop),% Rural Population,Death Rate (Crude) per 1k,Birth Rate (Crude) Per 1k,Natural Increase (Crude) per 1k,% Crop Production to '14-16 ,Gov Education Budget (% of),Country of asylum,Country of asylum (ISO),Authority,Stage of procedure,Cases / Persons,Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 49,176,500 ",0.0%,0.0%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Australia,AUS,G,AR,C,0,0,10,0,10
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 49,176,500 ",0.0%,0.0%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,10,0,15,0,25
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 49,176,500 ",0.0%,0.0%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Australia,AUS,G,AR,C,0,0,5,0,5
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 49,176,500 ",0.0%,0.0%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,0,0,5,0,5
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 49,176,500 ",0.0%,0.0%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,0,0,15,0,15
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 49,176,500 ",0.0%,0.0%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Australia,AUS,G,AR,C,0,0,5,0,5
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 49,176,500 ",0.0%,0.0%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Australia,AUS,G,AR,C,5,0,5,0,10
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 49,176,500 ",0.0%,0.0%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,5,0,5,0,10
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 49,176,500 ",0.0%,0.0%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Australia,AUS,G,AR,C,0,0,0,5,5
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,662,400 ",0.0%,3.0%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,12,0,0,0,12
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,662,400 ",0.0%,3.0%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Australia,AUS,G,AR,C,0,0,10,0,10
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,662,400 ",0.0%,3.0%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,5,0,5,0,10
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,662,400 ",0.0%,3.0%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Australia,AUS,G,AR,C,0,0,5,0,5
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,662,400 ",0.0%,3.0%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,0,0,14,0,14
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,662,400 ",0.0%,3.0%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Australia,AUS,G,AR,C,0,0,5,0,5
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,662,400 ",0.0%,3.0%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,14,0,20,0,34
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 48,662,400 ",0.0%,3.0%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,13,0,34,5,52
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 48,662,400 ",0.0%,3.0%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,13,0,42,5,60
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 48,662,400 ",0.0%,3.0%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,26,0,36,0,62
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 48,662,400 ",0.0%,3.0%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,29,0,33,5,67
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 48,662,400 ",0.0%,3.0%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,10,0,17,0,27
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 48,662,400 ",0.0%,3.0%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,13,0,13,5,31
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Belgium,BEL,G,AR,P,0,0,18,0,18
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Denmark,DNK,G,AR,P,5,5,14,0,24
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,France,FRA,G,AR,P,50,0,237,0,287
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Iceland,ISL,G,AR,P,0,0,5,0,5
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Netherlands,NLD,G,AR,P,0,21,73,32,126
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Norway,NOR,G,AR,P,0,0,16,0,16
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 48,662,400 ",0.0%,3.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Sweden,SWE,G,AR,P,0,24,39,0,63
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Belgium,BEL,G,AR,P,5,0,5,0,10
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Denmark,DNK,G,AR,P,5,0,32,0,37
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,France,FRA,G,AR,P,56,0,446,0,502
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Ireland,IRL,G,AR,P,12,0,0,0,0
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Netherlands,NLD,G,AR,P,0,12,5,129,146
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Poland,POL,G,AR,P,0,0,73,0,73
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 48,662,400 ",0.0%,3.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Sweden,SWE,G,AR,P,0,16,39,5,60
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Belgium,BEL,G,AR,P,0,0,15,5,20
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Denmark,DNK,G,AR,P,0,0,15,0,15
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,France,FRA,G,AR,P,40,0,255,0,295
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Ireland,IRL,G,AR,P,34,0,78,21,133
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Netherlands,NLD,G,AR,P,0,25,132,25,182
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Poland,POL,G,AR,P,0,0,93,0,93
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 48,662,400 ",0.0%,3.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Sweden,SWE,G,AR,P,0,5,156,19,180
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Belgium,BEL,G,AR,P,0,0,20,5,25
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Czechia,CZE,G,AR,P,0,0,576,111,687
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Denmark,DNK,G,AR,P,5,0,5,0,10
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,France,FRA,G,AR,P,74,0,260,0,334
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Ireland,IRL,G,AR,P,37,0,89,5,131
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Netherlands,NLD,G,AR,P,5,5,33,17,60
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Poland,POL,G,AR,P,0,0,23,0,0
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 48,662,400 ",0.0%,3.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Sweden,SWE,G,AR,P,0,12,269,13,294
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,662,400 ",0.0%,3.0%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Belgium,BEL,G,AR,P,0,0,23,0,23
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Cyprus,CYP,G,AR,P,0,0,17,5,22
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Czechia,CZE,G,AR,P,0,0,5,12,17
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Denmark,DNK,G,AR,P,0,0,5,0,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,France,FRA,G,AR,P,55,0,315,60,430
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Hungary,HUN,G,AR,P,0,0,5,0,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Ireland,IRL,G,AR,P,33,0,83,5,121
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Netherlands,NLD,G,AR,P,0,0,14,5,19
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Norway,NOR,G,AR,P,0,0,44,0,44
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Poland,POL,G,AR,P,0,0,18,5,23
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Sweden,SWE,G,AR,P,0,16,285,20,321
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Belgium,BEL,G,AR,P,0,0,5,13,18
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Cyprus,CYP,G,AR,P,0,0,23,5,28
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,France,FRA,G,AR,P,76,0,473,188,737
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Hungary,HUN,G,AR,P,0,0,11,0,11
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Netherlands,NLD,G,AR,P,0,5,5,11,21
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Norway,NOR,G,AR,P,0,14,25,0,39
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Poland,POL,G,AR,P,0,0,33,10,43
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 48,202,470 ",1.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Sweden,SWE,G,AR,P,0,17,239,21,277
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Belgium,BEL,G,AR,P,0,0,5,30,35
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Cyprus,CYP,G,AR,P,0,0,32,16,48
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Czechia,CZE,G,AR,P,13,0,559,199,771
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Ireland,IRL,G,AR,P,0,0,16,5,21
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Netherlands,NLD,G,AR,P,0,5,11,10,26
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Norway,NOR,G,AR,P,0,0,10,0,10
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 48,202,470 ",1.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Poland,POL,G,AR,P,0,0,5,5,10
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Cyprus,CYP,G,AR,P,0,0,92,34,126
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Czechia,CZE,G,AR,P,5,0,335,116,456
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Ireland,IRL,G,AR,P,0,0,11,0,11
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Netherlands,NLD,G,AR,P,5,0,11,0,16
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Norway,NOR,G,AR,P,0,0,11,0,11
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Poland,POL,G,AR,P,0,0,24,0,24
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 48,202,470 ",1.5%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Sweden,SWE,G,AR,P,0,0,28,5,33
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 48,202,470 ",1.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Cyprus,CYP,G,AR,P,0,5,30,11,46
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 48,202,470 ",1.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Czechia,CZE,G,AR,P,5,0,186,36,227
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 48,202,470 ",1.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Ireland,IRL,G,AR,P,5,0,11,5,21
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 48,202,470 ",1.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Norway,NOR,G,AR,P,0,0,13,0,13
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 48,202,470 ",1.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Poland,POL,G,AR,P,0,0,11,5,16
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 48,202,470 ",1.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Sweden,SWE,G,AR,P,0,0,46,10,56
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 48,202,470 ",1.5%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Cyprus,CYP,G,AR,P,0,0,0,10,10
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 48,202,470 ",1.5%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Czechia,CZE,G,AR,P,21,0,84,31,136
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 48,202,470 ",1.5%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Ireland,IRL,G,AR,P,5,0,38,5,48
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 48,202,470 ",1.5%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Norway,NOR,G,AR,P,0,0,21,0,21
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 48,202,470 ",1.5%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Sweden,SWE,G,AR,P,0,0,29,0,29
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 48,202,470 ",1.5%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Cyprus,CYP,G,AR,P,0,0,5,22,27
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 48,202,470 ",1.5%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Czechia,CZE,G,AR,P,23,0,69,22,114
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 48,202,470 ",1.5%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Croatia,HRV,G,AR,P,0,0,5,0,5
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 48,202,470 ",1.5%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Ireland,IRL,G,AR,P,0,0,14,0,14
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 48,202,470 ",1.5%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Norway,NOR,G,AR,P,0,0,25,0,25
